"","campus","faculty","semester","program","gender1","gender2","enough_info_delivery","enough_info_assessment","enough_time","online_access","resource_access","scheduled_learning","learning_duration","collaborative_study","constant_feedback","comfortably_study","STD.DVN","gender"
"13307",3,9,"6.0","Polymer Technology",NA,"Female",3,4,4,3,3,2,3,3,3,3,0.538516481,NA
"13311",3,12,"3.0","SR243","Male",NA,3,4,3,3,2,2,3,3,3,3,0.538516481,"Male"
"13335",3,10,"2.0","Cs110",NA,"Female",3,4,3,3,3,4,3,2,3,3,0.538516481,NA
"13339",3,10,"4.0","Diploma in mathematical science","Male",NA,3,3,3,3,2,4,3,2,3,3,0.538516481,"Male"
"13359",3,9,"2.0","Diploma in science",NA,"Female",4,4,3,3,3,3,3,2,3,3,0.538516481,NA
"13361",3,12,"3.0","Sr243","Male",NA,4,4,3,3,3,3,3,2,3,3,0.538516481,"Male"
"13362",5,23,"4.0","AC220",NA,"Female",4,4,3,3,3,3,3,2,3,3,0.538516481,NA
"13365",3,11,"7.0","AP220",NA,"Female",4,4,3,3,3,3,3,2,3,3,0.538516481,NA
"13370",5,26,"1.0","Diploma in Library Management","Male",NA,4,3,3,2,3,3,3,2,3,3,0.538516481,"Male"
"13375",3,9,"2.0","Polymer technology",NA,"Female",4,3,3,3,3,2,3,2,3,3,0.538516481,NA
"13397",3,10,"3.0","CS240","Male",NA,3,2,1,2,2,2,2,2,2,3,0.538516481,"Male"
"13431",3,12,"2.0","SR111","Male",NA,4,3,3,3,3,3,3,3,4,2,0.538516481,"Male"
"13445",3,12,"2.0","Sport management and recreation",NA,"Female",3,3,3,3,2,3,3,3,4,2,0.538516481,NA
"13553",3,9,"4.0","Diploma In Sciences",NA,"Female",3,3,3,4,3,2,3,3,3,2,0.538516481,NA
"13572",5,26,"4.0","IM120","Male",NA,2,2,3,1,2,2,2,2,3,2,0.538516481,"Male"
"13580",5,17,"2.0","KAD 112A","Male",NA,3,3,3,4,3,3,3,3,2,2,0.538516481,"Male"
"13690",5,24,"4.0","BA240",NA,"Female",4,4,4,5,5,4,4,3,4,5,0.6,NA
"13747",3,24,"4.0","BA243",NA,"Female",4,4,3,4,4,4,4,3,3,5,0.6,NA
"13758",5,24,"1.0","Banking",NA,"Female",3,4,5,4,4,5,4,4,5,4,0.6,NA
"13766",5,24,"4.0","International Business",NA,"Female",4,5,5,3,4,4,4,4,5,4,0.6,NA
"13795",3,13,"3.0","AT232",NA,"Female",4,4,5,4,5,4,4,3,5,4,0.6,NA
"13833",3,10,"3.0","CS240",NA,"Female",4,4,3,5,5,5,4,4,4,4,0.6,NA
"13860",5,10,"4.0","CS110",NA,"Female",4,4,2,4,4,4,4,4,4,4,0.6,NA
"13872",5,24,"4.0","Bachelor in islamic banking",NA,"Female",5,5,5,3,4,4,4,4,4,4,0.6,NA
"13897",3,10,"3.0","CS240",NA,"Female",5,4,3,3,3,4,4,4,4,4,0.6,NA
"13904",5,24,"2.0","BA118","Male",NA,4,4,4,4,2,4,4,4,4,4,0.6,"Male"
"13912",5,24,"4.0","OFFICE MANAGEMENT AND TECHNOLOGY","Male",NA,4,4,4,4,2,4,4,4,4,4,0.6,"Male"
"13937",3,9,"2.0","CTU151",NA,"Female",4,4,4,4,4,4,2,4,4,4,0.6,NA
"13945",3,12,"2.0","SR2432A","Male",NA,4,4,3,4,3,4,5,3,4,4,0.6,"Male"
"13959",3,9,"2.0","AS120",NA,"Female",4,4,4,3,3,5,4,3,4,4,0.6,NA
"13960",5,23,"4.0","Bachelor of Accountancy (hons.)",NA,"Female",4,4,4,3,3,5,4,3,4,4,0.6,NA
"14001",3,23,"2.0","AC120",NA,"Female",3,3,2,3,3,3,4,3,4,4,0.6,NA
"14003",3,11,"2.0","AP120",NA,"Female",4,3,4,5,4,4,3,3,4,4,0.6,NA
"14007",3,13,"3.0","AT232","Male",NA,3,3,2,3,3,4,3,3,4,4,0.6,"Male"
"14009",3,24,"2.0","BA242","Male",NA,3,3,3,3,2,4,3,3,4,4,0.6,"Male"
"14024",5,26,"2.0","Library Management",NA,"Female",3,3,3,3,4,2,3,3,4,4,0.6,NA
"14042",5,24,"4.0","International Business",NA,"Female",4,4,4,4,4,4,4,2,4,4,0.6,NA
"14057",3,24,"1.0","Ba242",NA,"Female",4,4,4,5,5,5,4,4,3,4,0.6,NA
"14064",5,15,"2.0","AM110",NA,"Female",4,4,5,4,3,3,4,4,3,4,0.6,NA
"14086",5,26,"2.0","IM120",NA,"Female",3,3,2,3,3,4,4,3,3,4,0.6,NA
"14089",3,23,"2.0","AC120",NA,"Female",3,3,3,3,2,4,4,3,3,4,0.6,NA
"14092",5,24,"1.0","Business",NA,"Female",3,3,4,2,3,3,4,3,3,4,0.6,NA
"14095",3,9,"2.0","Diploma Polymer Technology",NA,"Female",3,4,3,2,3,3,4,3,3,4,0.6,NA
"14114",5,24,"2.0","BA118",NA,"Female",4,4,3,3,2,3,3,3,3,4,0.6,NA
"14180",5,24,"2.0","BA249",NA,"Female",4,4,3,4,4,4,4,3,5,3,0.6,NA
"14250",5,24,"2.0","Diploma pengurusan dan teknologi pejabat",NA,"Female",4,5,3,4,4,4,3,4,4,3,0.6,NA
"14253",3,10,"2.0","Computer Science","Male",NA,4,4,5,3,4,4,3,4,4,3,0.6,"Male"
"14268",5,24,"3.0","BACHELOR IN FINANCE","Male",NA,4,4,3,4,4,5,4,3,4,3,0.6,"Male"
"14283",3,9,"4.0","AS120",NA,"Female",5,4,3,4,4,4,4,3,4,3,0.6,NA
"14325",3,13,"4.0","DPIM","Male",NA,3,4,3,2,3,3,4,3,4,3,0.6,"Male"
"14388",5,26,"4.0","Libraru science",NA,"Female",3,3,2,2,2,3,3,3,4,3,0.6,NA
"14422",5,24,"5.0","Diploma in Banking",NA,"Female",3,4,3,3,3,4,3,2,4,3,0.6,NA
"14426",5,17,"2.0","Graphic design",NA,"Female",3,3,3,4,4,3,3,2,4,3,0.6,NA
"14437",3,9,"6.0","AS113",NA,"Female",3,4,4,3,3,3,3,2,4,3,0.6,NA
"14452",5,24,"4.0","BA249",NA,"Female",3,3,2,3,3,2,3,2,4,3,0.6,NA
"14487",3,10,"4.0","DIPLOMA",NA,"Female",4,4,4,4,4,5,4,3,3,3,0.6,NA
"14495",3,10,"2.0","CS110","Male",NA,3,3,2,4,3,4,4,3,3,3,0.6,"Male"
"14505",3,11,"4.0","AP120",NA,"Female",3,3,4,3,2,4,4,3,3,3,0.6,NA
"14524",5,24,"2.0","Banking",NA,"Female",4,3,2,3,4,4,3,3,3,3,0.6,NA
"14528",5,24,"4.0","Office Management and Technology",NA,"Female",4,4,2,3,3,4,3,3,3,3,0.6,NA
"14532",5,24,"2.0","Diploma in office management",NA,"Female",4,3,4,2,3,4,3,3,3,3,0.6,NA
"14561",3,13,"1.0","AT 232","Male",NA,3,3,3,1,3,3,3,3,3,3,0.6,"Male"
"14565",3,12,"4.0","SR111","Male",NA,3,4,2,2,2,3,3,3,3,3,0.6,"Male"
"14573",3,9,"2.0","AS120","Male",NA,4,4,4,3,3,2,3,3,3,3,0.6,"Male"
"14581",3,9,"2.0","Diploma in science",NA,"Female",4,4,3,3,3,4,2,3,3,3,0.6,NA
"14590",5,17,"3.0","Industrial design","Male",NA,3,3,3,3,4,4,4,2,3,3,0.6,"Male"
"14631",3,12,"4.0","Sport Management",NA,"Female",4,4,4,3,3,3,3,2,3,3,0.6,NA
"14634",5,17,"2.0","AD111","Male",NA,3,4,2,2,3,3,3,2,3,3,0.6,"Male"
"14643",3,12,"2.0","SR111",NA,"Female",3,3,4,3,2,2,3,2,3,3,0.6,NA
"14651",3,11,"6.0","SAINS GEOMATIK","Male",NA,2,1,3,2,2,2,2,2,3,3,0.6,"Male"
"14656",5,26,"2.0","IM120",NA,"Female",3,3,2,2,3,3,3,4,2,3,0.6,NA
"14685",3,9,"2.0","Diploma in polymer technology","Male",NA,4,4,4,4,4,4,4,4,4,2,0.6,"Male"
"14699",3,10,"5.0","CS245","Male",NA,4,4,4,4,4,4,4,4,4,2,0.6,"Male"
"14740",5,26,"4.0","IM244",NA,"Female",3,3,4,3,4,3,3,3,4,2,0.6,NA
"14759",3,9,"2.0","RAS113","Male",NA,4,4,3,3,3,3,3,3,4,2,0.6,"Male"
"14777",3,10,"6.0","CS248",NA,"Female",4,4,3,3,3,3,3,3,4,2,0.6,NA
"14789",3,9,"4.0","AS203",NA,"Female",3,3,3,2,2,3,3,3,4,2,0.6,NA
"14839",3,11,"4.0","AP120","Male",NA,3,4,3,3,4,3,4,3,3,2,0.6,"Male"
"14843",3,11,"2.0","AP120","Male",NA,4,3,4,3,3,3,4,3,3,2,0.6,"Male"
"14871",3,12,"3.0","SR243",NA,"Female",3,3,3,2,2,4,3,3,3,2,0.6,NA
"14887",3,12,"4.0","SR113","Male",NA,4,4,4,3,3,3,3,3,3,2,0.6,"Male"
"14924",5,26,"4.0","IM120",NA,"Female",3,3,3,3,3,2,4,2,3,2,0.6,NA
"14932",5,10,"4.0","Diploma in computer science and mathematic",NA,"Female",3,3,2,4,3,3,3,2,3,2,0.6,NA
"14950",5,24,"2.0","KBA249",NA,"Female",3,4,3,3,3,3,2,2,3,2,0.6,NA
"14954",5,10,"3.0","Computer science","Male",NA,1,2,1,2,2,1,2,2,3,2,0.6,"Male"
"14963",3,24,"4.0","BA242",NA,"Female",3,3,4,3,3,3,2,3,2,2,0.6,NA
"14971",3,11,"2.0","Science geomatic","Male",NA,2,3,1,2,2,3,3,2,2,2,0.6,"Male"
"14987",3,9,"2.0","Diploma in science",NA,"Female",3,3,3,3,3,3,3,3,3,1,0.6,NA
"14999",3,13,"4.0","Diploma in planting management","Male",NA,2,2,1,1,2,2,2,2,3,1,0.6,"Male"
"15007",3,9,"4.0","AS115",NA,"Female",1,1,1,1,1,1,1,1,3,1,0.6,NA
"15015",3,10,"2.0","cs110","Male",NA,3,2,3,2,2,3,2,2,2,1,0.6,"Male"
"15018",5,10,"4.0","CS110","Male",NA,2,2,2,2,2,1,3,1,2,1,0.6,"Male"
"15029",3,10,"6.0","Management Mathematics",NA,"Female",4,4,3,3,4,4,4,4,5,5,0.632455532,NA
"15032",5,26,"4.0","Information Management",NA,"Female",3,4,4,4,4,3,4,4,5,5,0.632455532,NA
"15054",5,15,"6.0","Bachelor in Administrative Science (Hons)",NA,"Female",4,4,5,3,3,4,4,4,4,5,0.632455532,NA
"15085",3,10,"2.0","CS110","Male",NA,4,4,3,4,4,3,4,5,5,4,0.632455532,"Male"
"15093",3,23,"2.0","Diploma in Accounting Information System",NA,"Female",4,3,3,5,4,4,4,4,5,4,0.632455532,NA
"15109",3,12,"4.0","Sr241","Male",NA,4,4,3,4,5,4,4,3,5,4,0.632455532,"Male"
"15122",5,24,"2.0","Bussiness studies","Male",NA,4,4,3,3,4,5,4,5,4,4,0.632455532,"Male"
"15152",5,26,"2.0","IM110",NA,"Female",5,5,3,4,4,4,3,4,4,4,0.632455532,NA
"15179",3,10,"2.0","CS110",NA,"Female",3,3,2,3,3,2,3,3,4,4,0.632455532,NA
"15187",3,10,"2.0","Diploma",NA,"Female",4,4,4,3,4,5,5,4,3,4,0.632455532,NA
"15205",3,12,"4.0","SR111",NA,"Female",3,4,3,2,3,2,3,3,3,4,0.632455532,NA
"15220",5,26,"4.0","Diploma in information management",NA,"Female",4,4,3,4,4,5,4,4,5,3,0.632455532,NA
"15221",3,9,"2.0","Applied sciences AS120",NA,"Female",4,4,4,3,4,5,4,4,5,3,0.632455532,NA
"15232",5,24,"4.0","Bachelor of International Business",NA,"Female",4,4,4,5,3,4,4,4,5,3,0.632455532,NA
"15238",5,24,"4.0","Banking",NA,"Female",5,4,4,4,4,4,4,3,5,3,0.632455532,NA
"15312",5,26,"4.0","IM 244",NA,"Female",3,3,4,2,3,2,3,3,4,3,0.632455532,NA
"15313",3,9,"2.0","AS254",NA,"Female",4,3,3,2,3,2,3,3,4,3,0.632455532,NA
"15315",3,11,"6.0","AP120",NA,"Female",3,3,2,3,4,3,2,3,4,3,0.632455532,NA
"15389",3,11,"5.0","Dip in science geomatic",NA,"Female",3,3,2,4,4,3,3,2,3,3,0.632455532,NA
"15413",3,9,"4.0","AS113","Male",NA,3,4,3,4,3,2,3,3,2,3,0.632455532,"Male"
"15448",5,10,"2.0","Data Communication and Networking","Male",NA,3,3,3,3,3,4,3,2,4,2,0.632455532,"Male"
"15498",5,26,"5.0","Information Management (IM110)",NA,"Female",3,3,3,4,4,2,3,3,3,2,0.632455532,NA
"15503",3,12,"2.0","Sports Studies","Male",NA,4,4,3,3,3,2,3,3,3,2,0.632455532,"Male"
"15507",3,10,"4.0","Cs110","Male",NA,3,3,3,3,3,4,4,2,3,2,0.632455532,"Male"
"15508",5,24,"5.0","BA242","Male",NA,3,3,3,3,3,4,4,2,3,2,0.632455532,"Male"
"15511",3,13,"3.0","AT232",NA,"Female",3,3,4,3,3,4,3,2,3,2,0.632455532,NA
"15530",5,10,"2.0","CS110","Male",NA,4,4,3,3,3,3,3,2,3,2,0.632455532,"Male"
"15532",5,23,"3.0","AC220","Male",NA,4,4,3,3,3,3,3,2,3,2,0.632455532,"Male"
"15535",3,10,"6.0","Cs248","Male",NA,4,4,3,3,3,3,3,2,3,2,0.632455532,"Male"
"15553",3,24,"2.0","Human resource management",NA,"Female",2,2,2,1,2,2,3,2,3,1,0.632455532,NA
"15572",5,24,"4.0","ba240","Male",NA,5,5,5,3,5,4,5,5,5,5,0.640312424,"Male"
"15573",3,11,"4.0","AP220",NA,"Female",5,5,5,3,5,4,5,5,5,5,0.640312424,NA
"15586",5,24,"2.0","BA111",NA,"Female",5,5,5,3,5,5,5,4,5,5,0.640312424,NA
"15648",5,24,"5.0","Ba246","Male",NA,3,3,3,4,4,4,4,3,4,5,0.640312424,"Male"
"15651",3,9,"2.0","Diploma in Sciences",NA,"Female",4,4,3,3,3,4,4,3,4,5,0.640312424,NA
"15682",5,26,"4.0","LIBRARY MANAGEMENT",NA,"Female",4,4,4,4,4,3,3,3,3,5,0.640312424,NA
"15698",5,17,"2.0","AD111",NA,"Female",4,4,5,4,3,5,5,4,5,4,0.640312424,NA
"15728",5,10,"2.0","DIPLOMA IN SCIENCE COMPUTER","Male",NA,4,4,4,3,3,3,4,3,5,4,0.640312424,"Male"
"15739",3,10,"3.0","Management mathematics",NA,"Female",5,5,3,4,4,5,5,4,4,4,0.640312424,NA
"15753",3,13,"3.0","AT232",NA,"Female",4,4,2,3,4,4,4,4,4,4,0.640312424,NA
"15758",5,10,"2.0","Computer science","Male",NA,4,4,3,2,4,4,4,4,4,4,0.640312424,"Male"
"15769",3,10,"2.0","COMPUTER SCIENCE","Male",NA,4,4,4,2,3,4,4,4,4,4,0.640312424,"Male"
"15793",3,23,"4.0","AC120",NA,"Female",4,4,3,4,4,2,4,4,4,4,0.640312424,NA
"15819",3,13,"4.0","Horticulture",NA,"Female",5,5,4,5,5,4,4,3,4,4,0.640312424,NA
"15828",5,15,"4.0","Administrative science and policies",NA,"Female",4,4,2,4,4,4,4,3,4,4,0.640312424,NA
"15839",3,13,"7.0","AT232","Male",NA,3,4,3,5,3,4,4,3,4,4,0.640312424,"Male"
"15860",5,15,"1.0","Public Administration",NA,"Female",4,4,5,3,3,3,4,3,4,4,0.640312424,NA
"15879",3,13,"4.0","At100","Male",NA,3,4,3,3,2,4,3,3,4,4,0.640312424,"Male"
"15909",3,24,"2.0","HUMAN RESOURCES MANAGEMENT",NA,"Female",4,3,4,4,4,4,4,2,4,4,0.640312424,NA
"15911",3,10,"2.0","CS240",NA,"Female",4,3,4,4,4,4,4,2,4,4,0.640312424,NA
"15913",3,13,"3.0","AT232",NA,"Female",4,4,3,4,4,4,4,2,4,4,0.640312424,NA
"15915",3,24,"4.0","Human Resource Management",NA,"Female",4,4,3,4,4,4,4,2,4,4,0.640312424,NA
"15958",5,24,"2.0","BA111",NA,"Female",4,4,4,2,4,4,4,4,3,4,0.640312424,NA
"15959",3,13,"2.0","AT110",NA,"Female",4,4,4,2,4,4,4,4,3,4,0.640312424,NA
"15993",3,13,"4.0","DIPLOMA IN PLANTING INDUSTRY MANAGEMENT",NA,"Female",4,4,2,3,3,3,4,3,3,4,0.640312424,NA
"16003",3,11,"4.0","BACHELOR OF SURVEYING SCIENCE AND GEOMATICS (HONOURS)",NA,"Female",4,4,3,3,2,4,3,3,3,4,0.640312424,NA
"16028",5,23,"4.0","AC220",NA,"Female",4,4,3,4,3,3,3,2,3,4,0.640312424,NA
"16061",3,23,"4.0","AC120","Male",NA,5,5,5,5,5,5,5,4,5,3,0.640312424,"Male"
"16098",5,23,"2.0","Diploma in Accountancy",NA,"Female",4,4,4,3,3,4,4,3,5,3,0.640312424,NA
"16109",3,10,"2.0","CS110","Male",NA,3,3,4,3,3,3,3,3,5,3,0.640312424,"Male"
"16133",3,24,"1.0","FINANCE",NA,"Female",4,4,4,2,4,4,4,4,4,3,0.640312424,NA
"16162",5,24,"5.0","FINANCE",NA,"Female",4,4,3,2,3,3,3,4,4,3,0.640312424,NA
"16203",3,10,"5.0","CS240",NA,"Female",4,4,5,3,3,4,4,3,4,3,0.640312424,NA
"16211",3,10,"3.0","CS240",NA,"Female",2,3,4,3,3,4,4,3,4,3,0.640312424,NA
"16213",3,9,"2.0","AS115","Male",NA,3,4,2,3,3,4,4,3,4,3,0.640312424,"Male"
"16238",5,24,"1.0","Diploma In Business Studies",NA,"Female",3,4,3,3,2,4,4,3,4,3,0.640312424,NA
"16240",5,24,"2.0","BA119","Male",NA,3,4,3,3,2,4,4,3,4,3,0.640312424,"Male"
"16242",5,24,"2.0","BA 249",NA,"Female",4,3,3,3,2,4,4,3,4,3,0.640312424,NA
"16252",5,15,"2.0","Public admimistration",NA,"Female",3,4,3,2,4,3,4,3,4,3,0.640312424,NA
"16261",3,11,"4.0","Surveyinh Science and Geomatics",NA,"Female",4,4,3,2,3,3,4,3,4,3,0.640312424,NA
"16283",3,23,"2.0","diploma in accounting information system",NA,"Female",4,4,2,3,3,4,3,3,4,3,0.640312424,NA
"16284",5,23,"4.0","AC110",NA,"Female",4,4,2,3,3,4,3,3,4,3,0.640312424,NA
"16285",3,13,"6.0","AT232",NA,"Female",3,4,4,2,3,4,3,3,4,3,0.640312424,NA
"16287",3,9,"2.0","RAS115",NA,"Female",4,3,4,2,3,4,3,3,4,3,0.640312424,NA
"16295",3,13,"4.0","AT110",NA,"Female",4,4,3,2,3,4,3,3,4,3,0.640312424,NA
"16310",5,10,"2.0","Computer Science (CS110)","Male",NA,4,4,4,2,3,3,3,3,4,3,0.640312424,"Male"
"16319",3,13,"2.0","AT110","Male",NA,2,3,2,2,2,3,3,3,4,3,0.640312424,"Male"
"16322",5,24,"1.0","Ba111",NA,"Female",3,4,4,3,4,2,3,3,4,3,0.640312424,NA
"16359",3,9,"4.0","AS113",NA,"Female",4,3,3,3,4,3,4,2,4,3,0.640312424,NA
"16415",3,9,"2.0","diploma in science",NA,"Female",3,3,5,4,4,4,4,4,3,3,0.640312424,NA
"16417",3,13,"2.0","Diploma",NA,"Female",3,3,3,2,4,4,4,4,3,3,0.640312424,NA
"16462",5,24,"2.0","BUSINESS STUDY",NA,"Female",4,4,3,2,3,4,4,3,3,3,0.640312424,NA
"16508",5,26,"2.0","IM110","Male",NA,3,3,3,1,2,3,3,3,3,3,0.640312424,"Male"
"16556",5,24,"4.0","International Business Studies","Male",NA,4,4,4,3,4,3,3,2,3,3,0.640312424,"Male"
"16583",3,11,"6.0","Ap120",NA,"Female",2,2,1,3,3,2,2,3,2,3,0.640312424,NA
"16600",5,24,"1.0","pre diploma","Male",NA,4,4,4,3,4,4,4,4,4,2,0.640312424,"Male"
"16608",5,23,"4.0","Accounting",NA,"Female",4,4,4,4,3,4,4,4,4,2,0.640312424,NA
"16662",5,15,"1.0","Diploma",NA,"Female",3,4,3,3,3,4,4,3,4,2,0.640312424,NA
"16680",5,24,"2.0","Human Resource",NA,"Female",3,4,4,3,3,3,4,3,4,2,0.640312424,NA
"16704",5,26,"2.0","im110",NA,"Female",4,4,3,3,3,4,3,3,4,2,0.640312424,NA
"16712",5,24,"4.0","ISLAMIC BANKING",NA,"Female",4,4,3,3,3,4,3,3,4,2,0.640312424,NA
"16867",3,12,"4.0","Sport Management","Male",NA,3,3,3,2,2,3,4,2,3,2,0.640312424,"Male"
"16894",5,26,"2.0","Information management",NA,"Female",3,3,1,2,2,2,3,2,3,2,0.640312424,NA
"16911",3,11,"2.0","AP120","Male",NA,1,1,1,1,1,1,1,1,3,2,0.640312424,"Male"
"16925",3,10,"2.0","CS110","Male",NA,4,3,3,2,3,3,3,2,2,2,0.640312424,"Male"
"16930",5,10,"2.0","Computer Science","Male",NA,3,3,3,3,3,4,2,2,2,2,0.640312424,"Male"
"16940",5,24,"4.0","BA240",NA,"Female",2,2,2,1,1,2,3,1,1,2,0.640312424,NA
"16977",3,11,"4.0","Geomatic","Male",NA,1,2,1,1,1,1,3,1,1,1,0.640312424,"Male"
"16994",5,26,"2.0","Library management",NA,"Female",5,5,5,3,5,4,4,5,5,5,0.663324958,NA
"17006",5,24,"2.0","KBA2492A",NA,"Female",4,4,5,3,4,5,5,4,5,5,0.663324958,NA
"17021",3,11,"7.0","Bachelor of Surveying Science and Geomatic","Male",NA,5,5,4,4,5,5,5,3,5,5,0.663324958,"Male"
"17090",5,17,"4.0","Industrial Design",NA,"Female",4,3,3,3,4,3,4,4,3,5,0.663324958,NA
"17093",3,12,"2.0","SR113-DIPLOMA IN SPORTS STUDIES",NA,"Female",3,4,3,4,4,3,3,4,3,5,0.663324958,NA
"17096",5,24,"4.0","Office Management",NA,"Female",4,4,3,3,3,4,4,3,3,5,0.663324958,NA
"17112",5,26,"2.0","Information Management IM110","Male",NA,5,4,5,4,5,3,4,5,5,4,0.663324958,"Male"
"17123",3,13,"6.0","AT232",NA,"Female",5,5,4,3,4,5,5,4,5,4,0.663324958,NA
"17125",3,23,"2.0","Accounting Information System",NA,"Female",5,4,4,5,3,5,5,4,5,4,0.663324958,NA
"17151",3,11,"2.0","Geomatic science","Male",NA,4,4,3,3,3,4,3,3,5,4,0.663324958,"Male"
"17167",3,11,"2.0","Ap120","Male",NA,3,3,4,2,4,4,4,4,4,4,0.663324958,"Male"
"17250",5,26,"4.0","information management",NA,"Female",4,3,2,4,4,4,4,3,4,4,0.663324958,NA
"17329",3,11,"4.0","Sarjana Muda Sains Ukur dan Geomatik",NA,"Female",2,4,4,4,4,4,3,3,4,4,0.663324958,NA
"17367",3,13,"3.0","AT232 bachelor of science agrotechnology (hons.) horticulture technology",NA,"Female",4,4,3,3,4,4,4,2,4,4,0.663324958,NA
"17409",3,9,"2.0","DIPLOMA IN SCIENCE",NA,"Female",4,4,4,4,3,3,4,2,4,4,0.663324958,NA
"17421",3,10,"3.0","CS240",NA,"Female",4,4,3,3,3,4,3,2,4,4,0.663324958,NA
"17429",3,12,"4.0","SR 241 Sport Management","Male",NA,4,3,4,4,3,3,3,2,4,4,0.663324958,"Male"
"17433",3,12,"4.0","SR113",NA,"Female",4,4,4,5,5,5,5,5,3,4,0.663324958,NA
"17461",3,24,"4.0","RBA 243 Degree in Human Resource",NA,"Female",4,4,3,3,3,5,4,3,3,4,0.663324958,NA
"17476",5,15,"5.0","KAM228",NA,"Female",4,4,3,3,2,4,4,3,3,4,0.663324958,NA
"17499",3,10,"2.0","CS110","Male",NA,3,4,4,4,4,4,4,2,3,4,0.663324958,"Male"
"17507",3,13,"5.0","diploma in planting industry management","Male",NA,4,3,3,4,3,4,4,2,3,4,0.663324958,"Male"
"17537",3,12,"2.0","Bachelor in Health and Fitness","Male",NA,4,4,3,3,3,3,4,4,2,4,0.663324958,"Male"
"17541",3,11,"2.0","AP120",NA,"Female",4,4,3,4,4,4,4,3,2,4,0.663324958,NA
"17566",5,24,"2.0","KBA111",NA,"Female",5,5,4,4,4,5,5,4,5,3,0.663324958,NA
"17578",5,26,"4.0","Bachelor in library management","Male",NA,4,3,3,3,4,4,4,3,5,3,0.663324958,"Male"
"17582",5,26,"4.0","IM244",NA,"Female",4,4,3,3,3,4,4,3,5,3,0.663324958,NA
"17623",3,24,"4.0","BA242",NA,"Female",4,2,4,3,4,4,4,4,4,3,0.663324958,NA
"17644",5,24,"2.0","BA242",NA,"Female",4,4,4,2,3,4,4,4,4,3,0.663324958,NA
"17651",3,10,"4.0","computer science","Male",NA,4,4,4,2,3,4,4,4,4,3,0.663324958,"Male"
"17660",5,23,"3.0","Elc501",NA,"Female",4,4,3,4,2,4,4,4,4,3,0.663324958,NA
"17665",3,12,"4.0","SR111",NA,"Female",4,4,4,3,2,4,4,4,4,3,0.663324958,NA
"17668",5,15,"5.0","AM110",NA,"Female",4,4,4,3,2,4,4,4,4,3,0.663324958,NA
"17672",5,26,"2.0","Information Management",NA,"Female",4,3,2,3,4,3,4,4,4,3,0.663324958,NA
"17675",3,12,"2.0","Diploma in Sports Management and Recreation","Male",NA,4,3,4,2,3,3,4,4,4,3,0.663324958,"Male"
"17683",3,23,"2.0","Diploma Accountancy Information System",NA,"Female",4,4,3,3,2,3,4,4,4,3,0.663324958,NA
"17764",5,24,"4.0","Marketing",NA,"Female",4,4,2,3,3,4,4,3,4,3,0.663324958,NA
"17792",5,24,"5.0","BA246",NA,"Female",4,4,3,2,3,4,4,3,4,3,0.663324958,NA
"17811",3,10,"2.0","CS110",NA,"Female",3,4,2,4,4,3,4,3,4,3,0.663324958,NA
"17818",5,23,"4.0","Bachelor in Accountancy",NA,"Female",3,5,4,4,3,3,4,3,4,3,0.663324958,NA
"17819",3,9,"2.0","AS113",NA,"Female",4,4,2,4,3,3,4,3,4,3,0.663324958,NA
"17820",5,24,"4.0","BA240",NA,"Female",4,4,2,4,3,3,4,3,4,3,0.663324958,NA
"17823",3,9,"5.0","Diploma in science","Male",NA,4,4,5,3,3,3,4,3,4,3,0.663324958,"Male"
"17827",3,12,"2.0","Diploma in Sports Studies",NA,"Female",4,4,4,2,3,3,4,3,4,3,0.663324958,NA
"17831",3,12,"4.0","SR111","Male",NA,4,4,4,2,3,3,4,3,4,3,0.663324958,"Male"
"17843",3,12,"2.0","RSR2412A",NA,"Female",4,3,2,4,4,4,3,3,4,3,0.663324958,NA
"17854",5,26,"4.0","Diploma in Information Management",NA,"Female",4,4,3,4,2,4,3,3,4,3,0.663324958,NA
"17910",5,24,"2.0","Human Resource Management",NA,"Female",3,3,4,4,3,4,4,2,4,3,0.663324958,NA
"17943",3,10,"2.0","CS110","Male",NA,4,4,3,3,4,3,4,2,4,3,0.663324958,"Male"
"17944",5,24,"3.0","HUMAN RESOURCE MANAGEMENT",NA,"Female",4,4,3,3,4,3,4,2,4,3,0.663324958,NA
"17947",3,9,"4.0","AS113","Male",NA,4,4,3,3,4,3,4,2,4,3,0.663324958,"Male"
"17951",3,9,"2.0","RAS120",NA,"Female",4,4,4,3,3,3,4,2,4,3,0.663324958,NA
"17973",3,23,"2.0","AC120",NA,"Female",3,2,2,2,2,3,3,2,4,3,0.663324958,NA
"17978",5,23,"5.0","Bachelor of Accountancy (Hons.)","Male",NA,4,4,2,4,4,4,4,4,3,3,0.663324958,"Male"
"18024",5,24,"5.0","Operations management",NA,"Female",4,4,4,2,3,4,4,3,3,3,0.663324958,NA
"18092",5,24,"2.0","Bachelor of Business Administration (Hons.) Human Resource Management",NA,"Female",4,4,3,4,4,3,4,2,3,3,0.663324958,NA
"18117",3,24,"1.0","BA242",NA,"Female",3,2,2,2,2,3,3,1,3,3,0.663324958,NA
"18158",5,26,"2.0","IM110",NA,"Female",4,4,4,3,3,4,4,4,4,2,0.663324958,NA
"18171",3,10,"4.0","Diploma in mathematic sciences",NA,"Female",3,3,4,3,3,4,4,4,4,2,0.663324958,NA
